"Location","PovPct","Brth15to17"
"Alabama",20.1,31.5
"Alaska",7.1,18.9
"Arizona",16.1,35
"Arkansas",14.9,31.6
"California",16.7,22.6
"Colorado",8.8,26.2
"Connecticut",9.7,14.1
"Delaware",10.3,24.7
"District_of_Columbia",22,44.8
"Florida",16.2,23.2
"Georgia",12.1,31.4
"Hawaii",10.3,17.7
"Idaho",14.5,18.4
"Illinois",12.4,23.4
"Indiana",9.6,22.6
"Iowa",12.2,16.4
"Kansas",10.8,21.4
"Kentucky",14.7,26.5
"Louisiana",19.7,31.7
"Maine",11.2,11.9
"Maryland",10.1,20
"Massachusetts",11,12.5
"Michigan",12.2,18
"Minnesota",9.2,14.2
"Mississippi",23.5,37.6
"Missouri",9.4,22.2
"Montana",15.3,17.8
"Nebraska",9.6,18.3
"Nevada",11.1,28
"New_Hampshire",5.3,8.1
"New_Jersey",7.8,14.7
"New_Mexico",25.3,37.8
"New_York",16.5,15.7
"North_Carolina",12.6,28.6
"North_Dakota",12,11.7
"Ohio",11.5,20.1
"Oklahoma",17.1,30.1
"Oregon",11.2,18.2
"Pennsylvania",12.2,17.2
"Rhode_Island",10.6,19.6
"South_Carolina",19.9,29.2
"South_Dakota",14.5,17.3
"Tennessee",15.5,28.2
"Texas",17.4,38.2
"Utah",8.4,17.8
"Vermont",10.3,10.4
"Virginia",10.2,19
"Washington",12.5,16.8
"West_Virginia",16.7,21.5
"Wisconsin",8.5,15.9
"Wyoming",12.2,17.7
