sl,yd,dg,sx,rk
36350,35,doctorate,male,full
35350,22,doctorate,male,full
28200,23,doctorate,male,full
26775,27,doctorate,female,full
33696,30,masters,male,full
28516,21,doctorate,male,full
24900,32,masters,female,full
31909,18,doctorate,male,full
31850,30,masters,male,full
32850,31,masters,male,full
27025,22,doctorate,male,full
24750,19,doctorate,male,associate
28200,17,doctorate,male,full
23712,27,masters,male,associate
25748,24,doctorate,male,full
29342,15,doctorate,male,full
31114,20,doctorate,male,full
24742,14,masters,male,associate
22906,15,masters,male,associate
24450,21,masters,male,full
19175,23,masters,male,assistant
20525,31,masters,male,associate
27959,13,doctorate,male,full
38045,24,doctorate,female,full
24832,12,doctorate,male,associate
25400,18,doctorate,male,full
24800,14,doctorate,male,associate
25500,16,doctorate,female,full
26182,7,masters,male,associate
23725,17,masters,male,associate
21600,15,masters,female,assistant
23300,31,masters,male,associate
23713,14,masters,male,assistant
20690,33,masters,female,associate
22450,29,masters,female,associate
20850,9,doctorate,male,associate
18304,14,doctorate,female,assistant
17095,4,doctorate,male,assistant
16700,5,doctorate,male,assistant
17600,4,doctorate,male,assistant
18075,4,doctorate,male,assistant
18000,11,masters,male,assistant
20999,7,doctorate,male,associate
17250,3,doctorate,female,assistant
16500,3,doctorate,male,assistant
16094,1,doctorate,male,assistant
16150,6,doctorate,female,assistant
15350,2,doctorate,female,assistant
16244,1,doctorate,male,assistant
16686,1,doctorate,female,assistant
15000,1,doctorate,female,assistant
20300,2,doctorate,female,assistant
