con,age,edu,working
None,33,G,N
None,31,A,N
Long,38,A,N
Short,41,A,N
Long,25,M,N
Long,40,M,Y
Short,49,A,N
None,42,A,N
Long,26,M,N
Short,22,G,N
Long,28,A,N
None,45,M,N
None,43,G,N
None,47,L,Y
Short,37,G,Y
Long,23,G,N
None,42,L,N
Long,35,A,Y
None,24,A,N
Short,29,G,Y
Short,32,G,Y
None,37,M,N
Long,22,L,N
Long,37,G,N
Long,32,G,N
Short,25,M,N
None,47,L,Y
None,22,A,N
Long,30,G,N
Long,26,L,Y
None,47,M,N
None,22,G,Y
Short,27,A,N
Short,44,G,N
Short,43,G,N
Short,34,G,N
Short,36,G,N
None,28,G,N
None,29,A,Y
Long,26,G,N
Long,25,G,N
None,31,A,N
Short,35,A,Y
Long,38,A,N
Short,36,A,Y
None,32,A,N
None,28,A,N
Long,27,M,N
Short,31,G,N
Long,45,L,N
Long,23,G,N
Short,33,A,N
Short,46,G,N
None,17,M,N
None,49,G,Y
Short,48,G,Y
None,23,G,N
None,47,M,N
None,42,L,N
None,36,G,N
None,36,L,N
Short,48,G,N
None,38,M,N
Long,41,L,N
Long,26,A,N
None,22,M,N
Long,30,M,N
Long,25,M,Y
Long,25,A,N
Short,41,G,N
None,37,G,N
Long,31,A,N
Long,28,A,N
Long,44,G,N
None,23,G,Y
None,40,A,N
None,32,A,N
None,23,A,N
Short,46,G,Y
None,31,A,N
None,43,G,N
Long,34,M,N
Long,25,M,N
Long,43,G,N
None,42,L,N
Long,24,G,N
Short,39,G,N
Short,36,G,N
Long,25,M,N
Long,26,M,N
Long,31,G,Y
Long,29,A,Y
None,36,M,N
Long,30,A,N
None,23,A,N
Long,35,G,N
Long,39,L,Y
None,45,L,Y
None,24,A,N
None,33,G,N
Long,38,G,Y
Short,47,A,Y
Short,41,G,N
Short,45,A,N
None,36,G,N
None,23,G,N
None,47,G,N
Short,30,G,N
Short,43,G,N
None,22,G,N
None,43,L,Y
None,37,A,N
Long,43,A,Y
Long,47,G,N
Short,24,G,N
Short,26,A,N
Short,39,G,N
Long,37,G,Y
None,25,A,Y
None,31,A,Y
Long,21,G,N
Short,37,G,N
Long,29,L,N
Short,31,G,N
Long,23,M,Y
None,48,L,N
None,31,G,N
None,32,G,Y
None,22,G,N
Long,22,G,Y
Short,44,G,N
Short,28,A,N
None,24,M,N
None,22,M,N
Long,30,M,N
Short,33,G,N
None,25,M,Y
Long,36,G,N
None,43,L,Y
None,43,A,N
Short,32,G,N
None,23,G,N
Short,39,G,N
Long,23,G,N
Short,27,A,Y
Short,48,G,N
Long,37,M,N
None,25,G,N
None,44,L,N
Long,32,A,N
Long,46,A,N
None,21,A,N
None,41,M,Y
Long,30,G,N
None,30,L,N
None,30,G,Y
None,29,M,N
None,42,G,Y
None,27,A,N
Short,34,G,N
None,25,M,N
None,35,G,Y
None,33,L,N
None,49,A,N
Short,38,G,Y
None,37,M,N
None,35,L,N
Long,28,M,N
None,37,A,N
Long,34,G,N
Short,38,G,N
None,35,A,Y
None,31,M,N
Long,24,A,N
Short,29,G,N
None,33,G,Y
None,25,A,N
Long,27,A,N
None,26,M,N
Long,33,G,N
Long,27,M,N
None,38,A,N
None,23,A,N
None,21,A,Y
Long,43,A,N
Short,31,A,Y
Long,27,G,N
None,44,A,N
Short,26,A,N
None,30,M,Y
Long,28,G,N
Long,41,L,N
None,42,L,N
Long,30,L,N
None,21,A,N
Short,36,G,N
Short,44,G,N
Short,36,A,N
None,43,L,N
None,42,M,N
Long,24,L,N
None,27,M,N
Long,27,G,N
None,48,A,N
None,44,G,N
None,39,A,N
None,27,M,Y
Long,33,A,N
None,46,L,N
Long,21,M,Y
None,21,M,N
Long,34,M,N
Short,49,A,N
Long,22,G,N
Short,41,G,Y
None,35,M,N
None,28,G,N
Long,21,M,N
None,30,M,N
Long,28,G,N
Short,21,G,N
Long,17,A,N
Short,23,A,Y
Long,24,M,N
Short,34,G,N
None,25,A,N
Long,25,G,N
Short,29,G,N
None,45,M,N
Short,38,G,N
None,28,G,N
Short,37,G,N
Short,45,G,N
Long,21,A,Y
None,46,L,N
None,19,G,N
None,45,G,Y
None,44,A,N
None,25,A,N
None,34,M,Y
Long,20,M,N
Long,23,M,N
None,37,G,N
None,49,G,N
None,31,G,N
Long,37,G,Y
Long,30,M,N
None,22,M,N
Long,30,G,N
Long,28,M,N
None,23,G,Y
None,21,G,N
Long,33,M,N
Long,26,A,Y
None,45,G,N
Short,42,G,N
None,19,A,N
Long,34,M,N
Long,25,M,N
None,25,A,N
Long,29,M,Y
None,42,M,Y
Long,24,G,Y
None,40,A,Y
Long,32,A,N
Short,44,G,Y
None,25,A,N
None,24,M,N
Short,39,A,N
None,30,G,N
Long,32,G,Y
None,32,M,N
None,47,G,N
Long,37,G,N
Short,21,G,N
Long,29,G,N
None,29,M,Y
None,25,M,N
Short,42,G,N
None,42,A,N
Long,22,M,N
None,44,M,Y
Short,39,G,N
Long,25,G,N
Long,35,G,N
None,22,L,N
Long,38,G,N
Short,40,A,N
Short,35,M,N
None,38,L,N
Long,23,M,N
Short,39,G,Y
None,46,A,N
Short,29,G,Y
Long,23,G,N
Short,47,G,Y
None,20,G,Y
Long,25,A,N
Long,44,A,Y
Short,42,G,Y
